trip_id,source_area,museum_name,museum_area,distance_km,estimated_duration,rapido_bike_price,auto_price,cab_price,traffic_level,best_transport_option,peak_time,off_peak_time,nearest_landmarks,description
139,Auto Nagar,UH-3H Helicopter Museum,Beach Road,23.5,1h 4min,Rs.203,Rs.312,Rs.412,Moderate,Cab,7:30-9:30 AM; 5:00-7:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,INS Circars Gate; Beach Road; YMCA Ground,Travel from Auto Nagar to UH-3H Helicopter Museum in Beach Road. ~23.5km. Moderate traffic expected. Best option: Cab.
140,Steel Plant,UH-3H Helicopter Museum,Beach Road,15.6,1h 2min,Rs.140,Rs.217,Rs.294,High,Auto,7:00-9:00 AM; 4:30-7:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,INS Circars Gate; Beach Road; YMCA Ground,Travel from Steel Plant to UH-3H Helicopter Museum in Beach Road. ~15.6km. High traffic expected. Best option: Auto.
141,Scindia,UH-3H Helicopter Museum,Beach Road,24.0,1h 5min,Rs.207,Rs.318,Rs.420,Moderate,Cab,8:00-10:00 AM; 5:30-8:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,INS Circars Gate; Beach Road; YMCA Ground,Travel from Scindia to UH-3H Helicopter Museum in Beach Road. ~24.0km. Moderate traffic expected. Best option: Cab.
142,One Town,UH-3H Helicopter Museum,Beach Road,5.5,22 min,Rs.59,Rs.96,Rs.142,High,Auto,9:30-11:30 AM; 6:00-9:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,INS Circars Gate; Beach Road; YMCA Ground,Travel from One Town to UH-3H Helicopter Museum in Beach Road. ~5.5km. High traffic expected. Best option: Auto.
143,Poorna Market,UH-3H Helicopter Museum,Beach Road,4.8,19 min,Rs.53,Rs.88,Rs.132,High,Auto,9:30-12:00 PM; 5:30-9:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,INS Circars Gate; Beach Road; YMCA Ground,Travel from Poorna Market to UH-3H Helicopter Museum in Beach Road. ~4.8km. High traffic expected. Best option: Auto.
144,RK Beach,UH-3H Helicopter Museum,Beach Road,2.8,8 min,Rs.37,Rs.64,Rs.102,Moderate,Rapido Bike,6:00-9:00 AM; 5:00-8:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,INS Circars Gate; Beach Road; YMCA Ground,Travel from RK Beach to UH-3H Helicopter Museum in Beach Road. ~2.8km. Moderate traffic expected. Best option: Rapido Bike.
145,Rushikonda,UH-3H Helicopter Museum,Beach Road,2.6,7 min,Rs.36,Rs.61,Rs.99,Moderate,Rapido Bike,7:00-9:30 AM; 4:30-7:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,INS Circars Gate; Beach Road; YMCA Ground,Travel from Rushikonda to UH-3H Helicopter Museum in Beach Road. ~2.6km. Moderate traffic expected. Best option: Rapido Bike.
146,Lawson's Bay,UH-3H Helicopter Museum,Beach Road,1.9,5 min,Rs.30,Rs.53,Rs.88,Moderate,Rapido Bike,7:30-9:30 AM; 5:00-7:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,INS Circars Gate; Beach Road; YMCA Ground,Travel from Lawson's Bay to UH-3H Helicopter Museum in Beach Road. ~1.9km. Moderate traffic expected. Best option: Rapido Bike.
147,Hanumanthuwaka,UH-3H Helicopter Museum,Beach Road,14.3,57 min,Rs.129,Rs.202,Rs.274,High,Auto,8:00-10:00 AM; 5:30-7:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,INS Circars Gate; Beach Road; YMCA Ground,Travel from Hanumanthuwaka to UH-3H Helicopter Museum in Beach Road. ~14.3km. High traffic expected. Best option: Auto.
148,Arilova,UH-3H Helicopter Museum,Beach Road,12.9,35 min,Rs.118,Rs.185,Rs.254,Moderate,Auto,8:30-10:30 AM; 5:30-8:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,INS Circars Gate; Beach Road; YMCA Ground,Travel from Arilova to UH-3H Helicopter Museum in Beach Road. ~12.9km. Moderate traffic expected. Best option: Auto.
149,Beach Road,UH-3H Helicopter Museum,Beach Road,2.3,6 min,Rs.33,Rs.58,Rs.94,Moderate,Rapido Bike,6:30-9:00 AM; 5:30-8:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,INS Circars Gate; Beach Road; YMCA Ground,Travel from Beach Road to UH-3H Helicopter Museum in Beach Road. ~2.3km. Moderate traffic expected. Best option: Rapido Bike.
150,Kailasagiri,UH-3H Helicopter Museum,Beach Road,2.9,12 min,Rs.38,Rs.65,Rs.104,High,Rapido Bike,7:00-9:00 AM; 5:00-8:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,INS Circars Gate; Beach Road; YMCA Ground,Travel from Kailasagiri to UH-3H Helicopter Museum in Beach Road. ~2.9km. High traffic expected. Best option: Rapido Bike.
151,Gajuwaka,Visakha Museum,Beach Road,20.7,1h 23min,Rs.181,Rs.278,Rs.370,High,Cab,8:00-10:00 AM; 6:00-8:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,Palm Beach Hotel; Beach Road; Dutch Layout; Kirlampudi Layout,Travel from Gajuwaka to Visakha Museum in Beach Road. ~20.7km. High traffic expected. Best option: Cab.
152,Kommadi,Visakha Museum,Beach Road,9.2,25 min,Rs.89,Rs.140,Rs.198,Moderate,Rapido Bike,8:30-10:00 AM; 5:30-8:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,Palm Beach Hotel; Beach Road; Dutch Layout; Kirlampudi Layout,Travel from Kommadi to Visakha Museum in Beach Road. ~9.2km. Moderate traffic expected. Best option: Rapido Bike.
153,Madhurawada,Visakha Museum,Beach Road,15.5,1h 2min,Rs.139,Rs.216,Rs.292,High,Auto,8:00-10:30 AM; 5:00-7:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,Palm Beach Hotel; Beach Road; Dutch Layout; Kirlampudi Layout,Travel from Madhurawada to Visakha Museum in Beach Road. ~15.5km. High traffic expected. Best option: Auto.
154,PM Palem,Visakha Museum,Beach Road,11.5,46 min,Rs.107,Rs.168,Rs.232,High,Auto,8:30-10:00 AM; 6:00-8:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,Palm Beach Hotel; Beach Road; Dutch Layout; Kirlampudi Layout,Travel from PM Palem to Visakha Museum in Beach Road. ~11.5km. High traffic expected. Best option: Auto.
155,MVP Colony,Visakha Museum,Beach Road,9.2,37 min,Rs.89,Rs.140,Rs.198,High,Auto,9:00-11:00 AM; 6:00-9:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,Palm Beach Hotel; Beach Road; Dutch Layout; Kirlampudi Layout,Travel from MVP Colony to Visakha Museum in Beach Road. ~9.2km. High traffic expected. Best option: Auto.
156,Siripuram,Visakha Museum,Beach Road,5.6,34 min,Rs.60,Rs.97,Rs.144,Very High,Auto,9:00-11:30 AM; 6:30-9:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,Palm Beach Hotel; Beach Road; Dutch Layout; Kirlampudi Layout,Travel from Siripuram to Visakha Museum in Beach Road. ~5.6km. Very High traffic expected. Best option: Auto.
157,Dwaraka Nagar,Visakha Museum,Beach Road,7.4,30 min,Rs.74,Rs.119,Rs.171,High,Auto,9:00-11:00 AM; 6:00-9:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,Palm Beach Hotel; Beach Road; Dutch Layout; Kirlampudi Layout,Travel from Dwaraka Nagar to Visakha Museum in Beach Road. ~7.4km. High traffic expected. Best option: Auto.
158,Maddilapalem,Visakha Museum,Beach Road,8.0,32 min,Rs.79,Rs.126,Rs.180,High,Auto,8:30-10:30 AM; 5:30-8:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,Palm Beach Hotel; Beach Road; Dutch Layout; Kirlampudi Layout,Travel from Maddilapalem to Visakha Museum in Beach Road. ~8.0km. High traffic expected. Best option: Auto.
159,NAD Junction,Visakha Museum,Beach Road,8.3,23 min,Rs.81,Rs.130,Rs.184,Moderate,Rapido Bike,8:00-10:00 AM; 5:30-8:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,Palm Beach Hotel; Beach Road; Dutch Layout; Kirlampudi Layout,Travel from NAD Junction to Visakha Museum in Beach Road. ~8.3km. Moderate traffic expected. Best option: Rapido Bike.
160,Seethammadhara,Visakha Museum,Beach Road,9.0,18 min,Rs.87,Rs.138,Rs.195,Low,Rapido Bike,9:00-11:00 AM; 6:00-8:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,Palm Beach Hotel; Beach Road; Dutch Layout; Kirlampudi Layout,Travel from Seethammadhara to Visakha Museum in Beach Road. ~9.0km. Low traffic expected. Best option: Rapido Bike.
161,Jagadamba,Visakha Museum,Beach Road,4.4,12 min,Rs.50,Rs.83,Rs.126,Moderate,Rapido Bike,10:00 AM-12:00 PM; 6:00-9:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,Palm Beach Hotel; Beach Road; Dutch Layout; Kirlampudi Layout,Travel from Jagadamba to Visakha Museum in Beach Road. ~4.4km. Moderate traffic expected. Best option: Rapido Bike.
162,Asilmetta,Visakha Museum,Beach Road,3.3,20 min,Rs.41,Rs.70,Rs.110,Very High,Rapido Bike,9:00-11:30 AM; 6:00-9:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,Palm Beach Hotel; Beach Road; Dutch Layout; Kirlampudi Layout,Travel from Asilmetta to Visakha Museum in Beach Road. ~3.3km. Very High traffic expected. Best option: Rapido Bike.
163,Railway Station,Visakha Museum,Beach Road,3.4,14 min,Rs.42,Rs.71,Rs.111,High,Rapido Bike,7:00-9:00 AM; 5:00-8:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,Palm Beach Hotel; Beach Road; Dutch Layout; Kirlampudi Layout,Travel from Railway Station to Visakha Museum in Beach Road. ~3.4km. High traffic expected. Best option: Rapido Bike.
164,RTC Complex,Visakha Museum,Beach Road,6.2,17 min,Rs.65,Rs.104,Rs.153,Moderate,Rapido Bike,8:00-10:00 AM; 5:00-8:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,Palm Beach Hotel; Beach Road; Dutch Layout; Kirlampudi Layout,Travel from RTC Complex to Visakha Museum in Beach Road. ~6.2km. Moderate traffic expected. Best option: Rapido Bike.
165,Airport,Visakha Museum,Beach Road,19.3,53 min,Rs.169,Rs.262,Rs.350,Moderate,Auto,6:00-9:00 AM; 5:00-8:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,Palm Beach Hotel; Beach Road; Dutch Layout; Kirlampudi Layout,Travel from Airport to Visakha Museum in Beach Road. ~19.3km. Moderate traffic expected. Best option: Auto.
166,Pendurthi,Visakha Museum,Beach Road,20.0,1h 20min,Rs.175,Rs.270,Rs.360,High,Auto,7:30-9:30 AM; 5:00-7:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,Palm Beach Hotel; Beach Road; Dutch Layout; Kirlampudi Layout,Travel from Pendurthi to Visakha Museum in Beach Road. ~20.0km. High traffic expected. Best option: Auto.
167,Gopalapatnam,Visakha Museum,Beach Road,18.2,1h 13min,Rs.161,Rs.248,Rs.333,High,Auto,8:00-10:00 AM; 5:30-7:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,Palm Beach Hotel; Beach Road; Dutch Layout; Kirlampudi Layout,Travel from Gopalapatnam to Visakha Museum in Beach Road. ~18.2km. High traffic expected. Best option: Auto.
168,Kurmannapalem,Visakha Museum,Beach Road,19.1,52 min,Rs.168,Rs.259,Rs.346,Moderate,Auto,8:00-9:30 AM; 5:30-7:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,Palm Beach Hotel; Beach Road; Dutch Layout; Kirlampudi Layout,Travel from Kurmannapalem to Visakha Museum in Beach Road. ~19.1km. Moderate traffic expected. Best option: Auto.
169,Auto Nagar,Visakha Museum,Beach Road,15.3,1h 1min,Rs.137,Rs.214,Rs.290,High,Auto,7:30-9:30 AM; 5:00-7:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,Palm Beach Hotel; Beach Road; Dutch Layout; Kirlampudi Layout,Travel from Auto Nagar to Visakha Museum in Beach Road. ~15.3km. High traffic expected. Best option: Auto.
170,Steel Plant,Visakha Museum,Beach Road,17.1,34 min,Rs.152,Rs.235,Rs.316,Low,Auto,7:00-9:00 AM; 4:30-7:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,Palm Beach Hotel; Beach Road; Dutch Layout; Kirlampudi Layout,Travel from Steel Plant to Visakha Museum in Beach Road. ~17.1km. Low traffic expected. Best option: Auto.
171,Scindia,Visakha Museum,Beach Road,24.5,49 min,Rs.211,Rs.324,Rs.428,Low,Cab,8:00-10:00 AM; 5:30-8:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,Palm Beach Hotel; Beach Road; Dutch Layout; Kirlampudi Layout,Travel from Scindia to Visakha Museum in Beach Road. ~24.5km. Low traffic expected. Best option: Cab.
172,One Town,Visakha Museum,Beach Road,4.6,28 min,Rs.52,Rs.85,Rs.129,Very High,Auto,9:30-11:30 AM; 6:00-9:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,Palm Beach Hotel; Beach Road; Dutch Layout; Kirlampudi Layout,Travel from One Town to Visakha Museum in Beach Road. ~4.6km. Very High traffic expected. Best option: Auto.
173,Poorna Market,Visakha Museum,Beach Road,6.7,27 min,Rs.69,Rs.110,Rs.160,High,Auto,9:30-12:00 PM; 5:30-9:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,Palm Beach Hotel; Beach Road; Dutch Layout; Kirlampudi Layout,Travel from Poorna Market to Visakha Museum in Beach Road. ~6.7km. High traffic expected. Best option: Auto.
174,RK Beach,Visakha Museum,Beach Road,2.6,7 min,Rs.36,Rs.61,Rs.99,Moderate,Rapido Bike,6:00-9:00 AM; 5:00-8:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,Palm Beach Hotel; Beach Road; Dutch Layout; Kirlampudi Layout,Travel from RK Beach to Visakha Museum in Beach Road. ~2.6km. Moderate traffic expected. Best option: Rapido Bike.
175,Rushikonda,Visakha Museum,Beach Road,2.9,12 min,Rs.38,Rs.65,Rs.104,High,Rapido Bike,7:00-9:30 AM; 4:30-7:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,Palm Beach Hotel; Beach Road; Dutch Layout; Kirlampudi Layout,Travel from Rushikonda to Visakha Museum in Beach Road. ~2.9km. High traffic expected. Best option: Rapido Bike.
176,Lawson's Bay,Visakha Museum,Beach Road,2.5,10 min,Rs.35,Rs.60,Rs.98,High,Rapido Bike,7:30-9:30 AM; 5:00-7:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,Palm Beach Hotel; Beach Road; Dutch Layout; Kirlampudi Layout,Travel from Lawson's Bay to Visakha Museum in Beach Road. ~2.5km. High traffic expected. Best option: Rapido Bike.
177,Hanumanthuwaka,Visakha Museum,Beach Road,16.6,1h 6min,Rs.148,Rs.229,Rs.309,High,Auto,8:00-10:00 AM; 5:30-7:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,Palm Beach Hotel; Beach Road; Dutch Layout; Kirlampudi Layout,Travel from Hanumanthuwaka to Visakha Museum in Beach Road. ~16.6km. High traffic expected. Best option: Auto.
178,Arilova,Visakha Museum,Beach Road,9.8,27 min,Rs.93,Rs.148,Rs.207,Moderate,Rapido Bike,8:30-10:30 AM; 5:30-8:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,Palm Beach Hotel; Beach Road; Dutch Layout; Kirlampudi Layout,Travel from Arilova to Visakha Museum in Beach Road. ~9.8km. Moderate traffic expected. Best option: Rapido Bike.
179,Beach Road,Visakha Museum,Beach Road,2.5,5 min,Rs.35,Rs.60,Rs.98,Low,Rapido Bike,6:30-9:00 AM; 5:30-8:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,Palm Beach Hotel; Beach Road; Dutch Layout; Kirlampudi Layout,Travel from Beach Road to Visakha Museum in Beach Road. ~2.5km. Low traffic expected. Best option: Rapido Bike.
180,Kailasagiri,Visakha Museum,Beach Road,1.5,6 min,Rs.27,Rs.48,Rs.82,High,Rapido Bike,7:00-9:00 AM; 5:00-8:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,Palm Beach Hotel; Beach Road; Dutch Layout; Kirlampudi Layout,Travel from Kailasagiri to Visakha Museum in Beach Road. ~1.5km. High traffic expected. Best option: Rapido Bike.
181,Gajuwaka,"Archaeology Museum / Archaeology Section, Visakha Museum",Beach Road,22.6,1h 2min,Rs.196,Rs.301,Rs.399,Moderate,Cab,8:00-10:00 AM; 6:00-8:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,Palm Beach Hotel Stop; Beach Road; Visakha Museum Entrance,"Travel from Gajuwaka to Archaeology Museum / Archaeology Section, Visakha Museum in Beach Road. ~22.6km. Moderate traffic expected. Best option: Cab."
182,Kommadi,"Archaeology Museum / Archaeology Section, Visakha Museum",Beach Road,11.1,22 min,Rs.104,Rs.163,Rs.226,Low,Auto,8:30-10:00 AM; 5:30-8:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,Palm Beach Hotel Stop; Beach Road; Visakha Museum Entrance,"Travel from Kommadi to Archaeology Museum / Archaeology Section, Visakha Museum in Beach Road. ~11.1km. Low traffic expected. Best option: Auto."
183,Madhurawada,"Archaeology Museum / Archaeology Section, Visakha Museum",Beach Road,10.1,28 min,Rs.96,Rs.151,Rs.212,Moderate,Auto,8:00-10:30 AM; 5:00-7:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,Palm Beach Hotel Stop; Beach Road; Visakha Museum Entrance,"Travel from Madhurawada to Archaeology Museum / Archaeology Section, Visakha Museum in Beach Road. ~10.1km. Moderate traffic expected. Best option: Auto."
184,PM Palem,"Archaeology Museum / Archaeology Section, Visakha Museum",Beach Road,14.4,58 min,Rs.130,Rs.203,Rs.276,High,Auto,8:30-10:00 AM; 6:00-8:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,Palm Beach Hotel Stop; Beach Road; Visakha Museum Entrance,"Travel from PM Palem to Archaeology Museum / Archaeology Section, Visakha Museum in Beach Road. ~14.4km. High traffic expected. Best option: Auto."
185,MVP Colony,"Archaeology Museum / Archaeology Section, Visakha Museum",Beach Road,9.7,39 min,Rs.93,Rs.146,Rs.206,High,Auto,9:00-11:00 AM; 6:00-9:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,Palm Beach Hotel Stop; Beach Road; Visakha Museum Entrance,"Travel from MVP Colony to Archaeology Museum / Archaeology Section, Visakha Museum in Beach Road. ~9.7km. High traffic expected. Best option: Auto."
186,Siripuram,"Archaeology Museum / Archaeology Section, Visakha Museum",Beach Road,5.0,20 min,Rs.55,Rs.90,Rs.135,High,Auto,9:00-11:30 AM; 6:30-9:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,Palm Beach Hotel Stop; Beach Road; Visakha Museum Entrance,"Travel from Siripuram to Archaeology Museum / Archaeology Section, Visakha Museum in Beach Road. ~5.0km. High traffic expected. Best option: Auto."
187,Dwaraka Nagar,"Archaeology Museum / Archaeology Section, Visakha Museum",Beach Road,7.1,28 min,Rs.72,Rs.115,Rs.166,High,Auto,9:00-11:00 AM; 6:00-9:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,Palm Beach Hotel Stop; Beach Road; Visakha Museum Entrance,"Travel from Dwaraka Nagar to Archaeology Museum / Archaeology Section, Visakha Museum in Beach Road. ~7.1km. High traffic expected. Best option: Auto."
188,Maddilapalem,"Archaeology Museum / Archaeology Section, Visakha Museum",Beach Road,4.1,11 min,Rs.48,Rs.79,Rs.122,Moderate,Rapido Bike,8:30-10:30 AM; 5:30-8:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,Palm Beach Hotel Stop; Beach Road; Visakha Museum Entrance,"Travel from Maddilapalem to Archaeology Museum / Archaeology Section, Visakha Museum in Beach Road. ~4.1km. Moderate traffic expected. Best option: Rapido Bike."
189,NAD Junction,"Archaeology Museum / Archaeology Section, Visakha Museum",Beach Road,8.8,24 min,Rs.85,Rs.136,Rs.192,Moderate,Rapido Bike,8:00-10:00 AM; 5:30-8:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,Palm Beach Hotel Stop; Beach Road; Visakha Museum Entrance,"Travel from NAD Junction to Archaeology Museum / Archaeology Section, Visakha Museum in Beach Road. ~8.8km. Moderate traffic expected. Best option: Rapido Bike."
190,Seethammadhara,"Archaeology Museum / Archaeology Section, Visakha Museum",Beach Road,6.8,19 min,Rs.69,Rs.112,Rs.162,Moderate,Rapido Bike,9:00-11:00 AM; 6:00-8:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,Palm Beach Hotel Stop; Beach Road; Visakha Museum Entrance,"Travel from Seethammadhara to Archaeology Museum / Archaeology Section, Visakha Museum in Beach Road. ~6.8km. Moderate traffic expected. Best option: Rapido Bike."
191,Jagadamba,"Archaeology Museum / Archaeology Section, Visakha Museum",Beach Road,4.4,12 min,Rs.50,Rs.83,Rs.126,Moderate,Rapido Bike,10:00 AM-12:00 PM; 6:00-9:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,Palm Beach Hotel Stop; Beach Road; Visakha Museum Entrance,"Travel from Jagadamba to Archaeology Museum / Archaeology Section, Visakha Museum in Beach Road. ~4.4km. Moderate traffic expected. Best option: Rapido Bike."
192,Asilmetta,"Archaeology Museum / Archaeology Section, Visakha Museum",Beach Road,7.3,29 min,Rs.73,Rs.118,Rs.170,High,Auto,9:00-11:30 AM; 6:00-9:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,Palm Beach Hotel Stop; Beach Road; Visakha Museum Entrance,"Travel from Asilmetta to Archaeology Museum / Archaeology Section, Visakha Museum in Beach Road. ~7.3km. High traffic expected. Best option: Auto."
193,Railway Station,"Archaeology Museum / Archaeology Section, Visakha Museum",Beach Road,7.8,47 min,Rs.77,Rs.124,Rs.177,Very High,Auto,7:00-9:00 AM; 5:00-8:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,Palm Beach Hotel Stop; Beach Road; Visakha Museum Entrance,"Travel from Railway Station to Archaeology Museum / Archaeology Section, Visakha Museum in Beach Road. ~7.8km. Very High traffic expected. Best option: Auto."
194,RTC Complex,"Archaeology Museum / Archaeology Section, Visakha Museum",Beach Road,3.7,15 min,Rs.45,Rs.74,Rs.116,High,Rapido Bike,8:00-10:00 AM; 5:00-8:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,Palm Beach Hotel Stop; Beach Road; Visakha Museum Entrance,"Travel from RTC Complex to Archaeology Museum / Archaeology Section, Visakha Museum in Beach Road. ~3.7km. High traffic expected. Best option: Rapido Bike."
195,Airport,"Archaeology Museum / Archaeology Section, Visakha Museum",Beach Road,24.6,1h 7min,Rs.212,Rs.325,Rs.429,Moderate,Cab,6:00-9:00 AM; 5:00-8:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,Palm Beach Hotel Stop; Beach Road; Visakha Museum Entrance,"Travel from Airport to Archaeology Museum / Archaeology Section, Visakha Museum in Beach Road. ~24.6km. Moderate traffic expected. Best option: Cab."
196,Pendurthi,"Archaeology Museum / Archaeology Section, Visakha Museum",Beach Road,22.4,45 min,Rs.194,Rs.299,Rs.396,Low,Cab,7:30-9:30 AM; 5:00-7:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,Palm Beach Hotel Stop; Beach Road; Visakha Museum Entrance,"Travel from Pendurthi to Archaeology Museum / Archaeology Section, Visakha Museum in Beach Road. ~22.4km. Low traffic expected. Best option: Cab."
197,Gopalapatnam,"Archaeology Museum / Archaeology Section, Visakha Museum",Beach Road,24.1,48 min,Rs.208,Rs.319,Rs.422,Low,Cab,8:00-10:00 AM; 5:30-7:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,Palm Beach Hotel Stop; Beach Road; Visakha Museum Entrance,"Travel from Gopalapatnam to Archaeology Museum / Archaeology Section, Visakha Museum in Beach Road. ~24.1km. Low traffic expected. Best option: Cab."
198,Kurmannapalem,"Archaeology Museum / Archaeology Section, Visakha Museum",Beach Road,24.2,1h 6min,Rs.209,Rs.320,Rs.423,Moderate,Cab,8:00-9:30 AM; 5:30-7:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,Palm Beach Hotel Stop; Beach Road; Visakha Museum Entrance,"Travel from Kurmannapalem to Archaeology Museum / Archaeology Section, Visakha Museum in Beach Road. ~24.2km. Moderate traffic expected. Best option: Cab."
199,Auto Nagar,"Archaeology Museum / Archaeology Section, Visakha Museum",Beach Road,21.6,43 min,Rs.188,Rs.289,Rs.384,Low,Cab,7:30-9:30 AM; 5:00-7:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,Palm Beach Hotel Stop; Beach Road; Visakha Museum Entrance,"Travel from Auto Nagar to Archaeology Museum / Archaeology Section, Visakha Museum in Beach Road. ~21.6km. Low traffic expected. Best option: Cab."
200,Steel Plant,"Archaeology Museum / Archaeology Section, Visakha Museum",Beach Road,19.7,54 min,Rs.173,Rs.266,Rs.356,Moderate,Auto,7:00-9:00 AM; 4:30-7:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,Palm Beach Hotel Stop; Beach Road; Visakha Museum Entrance,"Travel from Steel Plant to Archaeology Museum / Archaeology Section, Visakha Museum in Beach Road. ~19.7km. Moderate traffic expected. Best option: Auto."
201,Scindia,"Archaeology Museum / Archaeology Section, Visakha Museum",Beach Road,17.2,1h 9min,Rs.153,Rs.236,Rs.318,High,Auto,8:00-10:00 AM; 5:30-8:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,Palm Beach Hotel Stop; Beach Road; Visakha Museum Entrance,"Travel from Scindia to Archaeology Museum / Archaeology Section, Visakha Museum in Beach Road. ~17.2km. High traffic expected. Best option: Auto."
202,One Town,"Archaeology Museum / Archaeology Section, Visakha Museum",Beach Road,5.1,14 min,Rs.56,Rs.91,Rs.136,Moderate,Rapido Bike,9:30-11:30 AM; 6:00-9:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,Palm Beach Hotel Stop; Beach Road; Visakha Museum Entrance,"Travel from One Town to Archaeology Museum / Archaeology Section, Visakha Museum in Beach Road. ~5.1km. Moderate traffic expected. Best option: Rapido Bike."
203,Poorna Market,"Archaeology Museum / Archaeology Section, Visakha Museum",Beach Road,3.9,16 min,Rs.46,Rs.77,Rs.118,High,Rapido Bike,9:30-12:00 PM; 5:30-9:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,Palm Beach Hotel Stop; Beach Road; Visakha Museum Entrance,"Travel from Poorna Market to Archaeology Museum / Archaeology Section, Visakha Museum in Beach Road. ~3.9km. High traffic expected. Best option: Rapido Bike."
204,RK Beach,"Archaeology Museum / Archaeology Section, Visakha Museum",Beach Road,2.3,5 min,Rs.33,Rs.58,Rs.94,Low,Rapido Bike,6:00-9:00 AM; 5:00-8:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,Palm Beach Hotel Stop; Beach Road; Visakha Museum Entrance,"Travel from RK Beach to Archaeology Museum / Archaeology Section, Visakha Museum in Beach Road. ~2.3km. Low traffic expected. Best option: Rapido Bike."
205,Rushikonda,"Archaeology Museum / Archaeology Section, Visakha Museum",Beach Road,2.0,8 min,Rs.31,Rs.54,Rs.90,High,Rapido Bike,7:00-9:30 AM; 4:30-7:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,Palm Beach Hotel Stop; Beach Road; Visakha Museum Entrance,"Travel from Rushikonda to Archaeology Museum / Archaeology Section, Visakha Museum in Beach Road. ~2.0km. High traffic expected. Best option: Rapido Bike."
