Restaurant Name,Address,City,Category,Rating,Reviews Count,Speciality,Budget Min (INR),Budget Max (INR),Expected Budget Range
Sridevi Hotel,mvp main rd,Visakhapatnam,Andhra restaurant,3.7,1368,"Authentic Andhra meals, spicy curries, rice dishes & chutneys",80,300,Rs.80 - Rs.300 per person
Hotel Muntaj,,Visakhapatnam,Family restaurant,3.9,5123,"Full-service dining with multi-cuisine buffet, meals & beverages",200,700,Rs.200 - Rs.700 per person
Hotel Rajadhani,"1-68-29/1, mvp main rd",Visakhapatnam,Biryani restaurant,3.6,82,"Hyderabadi & Andhra-style biryani, kebabs & raita",100,400,Rs.100 - Rs.400 per person
Biryani Bowl,"1, 68-28",Visakhapatnam,Biryani restaurant,3.9,51,"Hyderabadi & Andhra-style biryani, kebabs & raita",100,400,Rs.100 - Rs.400 per person
Avani Organics,"avani organics store, mvp, rythu bazaar rd",Visakhapatnam,Organic shop,4.9,101,Highly-rated multi-cuisine dining with quality meals & beverages,150,500,Rs.150 - Rs.500 per person
Urban Fries,"krishna college road, opposite alliance collage, beside irani tales",Visakhapatnam,Snack bar,5.0,1,"Cocktails, mocktails, beverages & bar snacks",300,1200,Rs.300 - Rs.1200 per person
Behrouz Biryani Mvp,"mvp double rd unit 1-83-13, sri sampath bhuvneshwari plaza, plot no.2/3, s.no.mvp colony pada, village",Visakhapatnam,Biryani restaurant,3.9,69,"Hyderabadi & Andhra-style biryani, kebabs & raita",100,400,Rs.100 - Rs.400 per person
Crunchiees,,Visakhapatnam,Snack bar,4.9,7,"Cocktails, mocktails, beverages & bar snacks",300,1200,Rs.300 - Rs.1200 per person
Subway Mvp Colony,"branch & atm, d no hig -92/a, beside icici bank",Visakhapatnam,Fast food restaurant,4.3,1246,"Fast food combos: burgers, fried snacks, rolls & soft drinks",60,250,Rs.60 - Rs.250 per person
Surya Fast Foods,mvp double rd,Visakhapatnam,Fast food restaurant,2.5,57,"Fast food combos: burgers, fried snacks, rolls & soft drinks",60,250,Rs.60 - Rs.250 per person
Mana Biryani Vindu,"d, 1-83-18/1, mvp double rd, opp. lic office",Visakhapatnam,Restaurant,4.7,96,"Hyderabadi & Andhra-style biryani, kebabs & raita",100,400,Rs.100 - Rs.400 per person
Ayivs Cloud Kitchen / Andhra Biryani House,1-92-13,Visakhapatnam,Biryani restaurant,4.0,43,"Authentic Andhra meals, spicy curries, rice dishes & chutneys",80,300,Rs.80 - Rs.300 per person
Jaggu Canteen,p844+83g andhra medical college,Visakhapatnam,Cafeteria,4.6,37,"Cafe beverages, snacks, light meals & desserts",80,350,Rs.80 - Rs.350 per person
Andhra Medical College,"p843+hwx, medical college road king george hospital, opp. collector office",Visakhapatnam,Medical school,4.5,569,"Authentic Andhra meals, spicy curries, rice dishes & chutneys",80,300,Rs.80 - Rs.300 per person
Sri Malyadri Taxi Service,"54-7-1, opposite indian oil petrol",Visakhapatnam,Taxi service,4.5,83,Highly-rated multi-cuisine dining with quality meals & beverages,150,500,Rs.150 - Rs.500 per person
Isukathota,p8vf+3w4,Visakhapatnam,Tiffin center,,0,"South Indian breakfast & tiffins: idly, dosa, vada, upma & filter coffee",40,200,Rs.40 - Rs.200 per person
Sun Shine,"1-83-29, mvp double rd",Visakhapatnam,Restaurant,3.9,1634,"Multi-cuisine restaurant with meals, snacks & beverages",80,350,Rs.80 - Rs.350 per person
Konaseema Chiken Pokoda,"p8vf+h9p, krishna college road",Visakhapatnam,Chicken restaurant,,0,"Grilled chicken, kebabs, chicken curries & tandoor items",120,500,Rs.120 - Rs.500 per person
Ramlakshmi Tifin Center,"girijan bhavan, mvp double rd",Visakhapatnam,Tiffin center,,0,"South Indian breakfast & tiffins: idly, dosa, vada, upma & filter coffee",40,200,Rs.40 - Rs.200 per person
Sirichandana Parlour(Special),"mvp main road sector 3, dharmasakthi nagar",Visakhapatnam,Vegetarian restaurant,3.8,384,"Pure vegetarian meals, South Indian & North Indian veg dishes",80,300,Rs.80 - Rs.300 per person
New Cafe Military,,Visakhapatnam,South Indian restaurant,4.0,5779,"South Indian breakfast & tiffins: idly, dosa, vada, upma & filter coffee",40,200,Rs.40 - Rs.200 per person
Rasapurna Curry Point,"51, mvp main rd",Visakhapatnam,Indian takeaway,4.3,186,"Quick takeaway meals, combos & packaged food",80,300,Rs.80 - Rs.300 per person
Food Mart,"54-11-39, krishna college road",Visakhapatnam,Andhra restaurant,4.5,157,"Authentic Andhra meals, spicy curries, rice dishes & chutneys",80,300,Rs.80 - Rs.300 per person
Udipis Upahar Vizag,"mvp double rd, beside six degrees restaurant, opposite pollocks school",Visakhapatnam,South Indian restaurant,3.8,1272,"South Indian breakfast & tiffins: idly, dosa, vada, upma & filter coffee",40,200,Rs.40 - Rs.200 per person
Starters Stop,,Visakhapatnam,South Indian restaurant,,0,"South Indian breakfast & tiffins: idly, dosa, vada, upma & filter coffee",40,200,Rs.40 - Rs.200 per person
Bombay Boy,venkojipalem rd,Visakhapatnam,Fast food restaurant,4.8,52,"Fast food combos: burgers, fried snacks, rolls & soft drinks",60,250,Rs.60 - Rs.250 per person
Dawat Biryani,"mvp double rd, beside house of tifines",Visakhapatnam,Restaurant,3.6,5,"Hyderabadi & Andhra-style biryani, kebabs & raita",100,400,Rs.100 - Rs.400 per person
Biryani Baabulu,"72-1, near mahatma gandhi cancer hospital",Visakhapatnam,Takeout Restaurant,3.2,6,"Hyderabadi & Andhra-style biryani, kebabs & raita",100,400,Rs.100 - Rs.400 per person
Hotel Royal Raju Garu,,Visakhapatnam,Tiffin center,5.0,12,"South Indian breakfast & tiffins: idly, dosa, vada, upma & filter coffee",40,200,Rs.40 - Rs.200 per person
Faasos Mvp,"mpl. corp, sri sampath bhuvneshwari plaza, h.no.1-83-13, plot no.2/3 s.no.mvp colony, mvp double road, pada waltair village vizag city, srinagar, greater",Visakhapatnam,Breakfast restaurant,4.0,47,"Morning breakfast specials: tiffins, parathas & hot beverages",40,180,Rs.40 - Rs.180 per person
Burger On Wheels,"1-91-1/1, double road",Visakhapatnam,Fast food restaurant,4.1,42,"Burgers, wraps, sandwiches & continental fast food",80,300,Rs.80 - Rs.300 per person
Rajadhani Restaurants,"p8vj+qwv, mvp main rd",Visakhapatnam,Restaurant,3.6,103,"Multi-cuisine restaurant with meals, snacks & beverages",80,350,Rs.80 - Rs.350 per person
????? ???? ?????? & ??? ??????,55-7-67,Visakhapatnam,Chicken shop,5.0,2,"Grilled chicken, kebabs, chicken curries & tandoor items",120,500,Rs.120 - Rs.500 per person
Star Biryani Point,,Visakhapatnam,Restaurant,,0,"Hyderabadi & Andhra-style biryani, kebabs & raita",100,400,Rs.100 - Rs.400 per person
Cake Shop,"isukotha,opp pot biryani,nh-5 road,","Vishakaptanam, Visakhapatnam",Restaurant,2.9,25,"Fresh baked goods, cakes, pastries, cookies & sweets",50,300,Rs.50 - Rs.300 per person
Hello Fisheries,"gvmc primary school, beside mundi croods",Visakhapatnam,Seafood restaurant,5.0,1,"Fresh seafood: fish fry, prawn curry, crab masala & coastal Andhra delicacies",200,800,Rs.200 - Rs.800 per person
Green Chilly'S,50-40-10,Visakhapatnam,Restaurant,3.8,213,"Multi-cuisine restaurant with meals, snacks & beverages",80,350,Rs.80 - Rs.350 per person
The Lavish Kitchen,"1st floor, kmr palace, 49-49-7, sankara matam rd",Visakhapatnam,Health food restaurant,4.4,12,"Multi-cuisine restaurant with meals, snacks & beverages",80,350,Rs.80 - Rs.350 per person
Mr.Kitchen Dining,"door no. 55, 15-10, hb colony rd",Visakhapatnam,Indian restaurant,4.4,483,"Indian cuisine with rice, curries, dals & traditional meals",100,400,Rs.100 - Rs.400 per person
Sri Padmavathi Restaurant,p8wj+ppj,Visakhapatnam,North Indian restaurant,3.7,314,"North Indian curries, roti, dal makhani, paneer dishes & lassi",120,450,Rs.120 - Rs.450 per person
Spicy Route,"9/1, 1-5, venkojipalem rd, near kamalamma nilyam, near nri college",Visakhapatnam,Takeout Restaurant,4.4,47,"Quick takeaway meals, combos & packaged food",80,300,Rs.80 - Rs.300 per person
Mahendra Mithaiwala,"mahendra mithaiwala pvt ltd, 45-56-1/5, kun bmw lane, beside indian oil petrol pump",Visakhapatnam,Indian sweets shop,4.9,575,"Indian cuisine with rice, curries, dals & traditional meals",100,400,Rs.100 - Rs.400 per person
Ram Siva Sai Fruit Juice Center Branch 2,"main rd, beside sri kanya theatre",Visakhapatnam,Juice shop,4.7,30,"Fresh fruit juices, milkshakes & health beverages",30,150,Rs.30 - Rs.150 per person
Sowrya Inn,43-14-24 lane beside srikanya theater,Visakhapatnam,Hotel,3.7,577,"Full-service dining with multi-cuisine buffet, meals & beverages",200,700,Rs.200 - Rs.700 per person
Subbalaxmi Kalyanamandapam,p7gw+j4r,Visakhapatnam,Event venue,4.0,1138,"Multi-cuisine restaurant with meals, snacks & beverages",80,350,Rs.80 - Rs.350 per person
Binu Raj Parlour,"43-9-33, railway new colony rd, near sri kanya theatre",Visakhapatnam,Breakfast restaurant,4.6,15,"Morning breakfast specials: tiffins, parathas & hot beverages",40,180,Rs.40 - Rs.180 per person
Sky Limits Furniture Shop,"1st floor, railway new colony opp sbi bank, above ora showroom (vespa",Visakhapatnam,Furniture store,4.4,265,"Multi-cuisine restaurant with meals, snacks & beverages",80,350,Rs.80 - Rs.350 per person
Asha Decorations,"shadi kana, 4 line",Visakhapatnam,Wedding venue,3.8,695,"Multi-cuisine restaurant with meals, snacks & beverages",80,350,Rs.80 - Rs.350 per person
Sri Sita Rama Kalyana Mandapam,"port hospital doctors quarters, nh16, near gj hospital",Visakhapatnam,Wedding venue,4.1,886,"Multi-cuisine restaurant with meals, snacks & beverages",80,350,Rs.80 - Rs.350 per person
Sujatha Function Hall,"45-48-9, 48-13/1, abid nagar rd",Visakhapatnam,Function room facility,3.9,200,"Multi-cuisine restaurant with meals, snacks & beverages",80,350,Rs.80 - Rs.350 per person
828 Chef,lig 69,Visakhapatnam,Biryani restaurant,4.2,180,"Hyderabadi & Andhra-style biryani, kebabs & raita",100,400,Rs.100 - Rs.400 per person
Sri Sai Pooja Restaurant & Bar,"plot no.219, mvp main rd, near venkojipalem",Visakhapatnam,Restaurant,3.3,191,"Multi-cuisine restaurant with meals, snacks & beverages",80,350,Rs.80 - Rs.350 per person
Millet Rasoi,"51/8/40/63, new",Visakhapatnam,North Indian restaurant,,0,"North Indian curries, roti, dal makhani, paneer dishes & lassi",120,450,Rs.120 - Rs.450 per person
Sri Rajarajeshwari Sai Curry Point Veg And Non Veg,q888+375,Visakhapatnam,Indian restaurant,5.0,1,"Pure vegetarian meals, South Indian & North Indian veg dishes",80,300,Rs.80 - Rs.300 per person
Food Villa,q897+2xj,Visakhapatnam,Restaurant,4.2,58,"Multi-cuisine restaurant with meals, snacks & beverages",80,350,Rs.80 - Rs.350 per person
V L Family Restaurant,"q889+2j4, golla st",Visakhapatnam,Family restaurant,3.0,5,Family-style dining with multi-cuisine Indian meals & combos,150,500,Rs.150 - Rs.500 per person
Tribe The Night Club @ Park Hotel,"505, beach rd",Visakhapatnam,Restaurant,3.9,203,"Full-service dining with multi-cuisine buffet, meals & beverages",200,700,Rs.200 - Rs.700 per person
What About Joe'S,"vasu villa apartments, door no 4-45-8, 4-45-7, near sbi atm",Visakhapatnam,Delivery Restaurant,4.3,6,"Multi-cuisine restaurant with meals, snacks & beverages",80,350,Rs.80 - Rs.350 per person
The Palaharam,"v.m.c. complex, e-seva building, 6, hb colony rd",Visakhapatnam,Indian restaurant,4.6,35,"Indian cuisine with rice, curries, dals & traditional meals",100,400,Rs.100 - Rs.400 per person
Bhale Biryani Seethammadhara,"55-8-30, opposite axis bank",Visakhapatnam,Biryani restaurant,4.0,188,"Hyderabadi & Andhra-style biryani, kebabs & raita",100,400,Rs.100 - Rs.400 per person
Shaan Multi Cuisine Restaurant,"shop no- 6, gvmc complex, opp. south india bank",Visakhapatnam,Restaurant,4.1,22,"Multi-cuisine restaurant with meals, snacks & beverages",80,350,Rs.80 - Rs.350 per person
Gowri Shankhar Parlour,"181-131, opp. asr statue",Visakhapatnam,Vegetarian restaurant,3.6,90,"Pure vegetarian meals, South Indian & North Indian veg dishes",80,300,Rs.80 - Rs.300 per person
Sri Sai Lakshmi Delicious Food,"s-3, d.t.r.encliv door no, 9/9/128",Visakhapatnam,Continental restaurant,4.8,5,"Continental & Italian cuisine: pasta, grills, salads & mocktails",200,800,Rs.200 - Rs.800 per person
Nivedyam Restaurant,"55/8/29, hb colony rd, beside sri venkateswara swamy temple",Visakhapatnam,Restaurant,4.8,5,Highly-rated multi-cuisine dining with quality meals & beverages,150,500,Rs.150 - Rs.500 per person
Pressed & Pure Co.,,Visakhapatnam,Takeout Restaurant,4.8,28,"Quick takeaway meals, combos & packaged food",80,300,Rs.80 - Rs.300 per person
Rajugari Logili,p8v7+8rp,Visakhapatnam,Restaurant,3.7,42,"Multi-cuisine restaurant with meals, snacks & beverages",80,350,Rs.80 - Rs.350 per person
Bhimavaram Ruchulu,"50, nri hospital rd",Visakhapatnam,Takeout Restaurant,3.6,118,"Quick takeaway meals, combos & packaged food",80,300,Rs.80 - Rs.300 per person
Arabian Shawarma,"p8r3+hhf, seethammadhara rd",Visakhapatnam,Indian restaurant,4.7,30,"Indian cuisine with rice, curries, dals & traditional meals",100,400,Rs.100 - Rs.400 per person
Noodle Bar,"54-13-2, seethammadhara rd",Visakhapatnam,Chinese noodle restaurant,3.0,2,"Indo-Chinese dishes: fried rice, noodles, manchurian & soups",100,350,Rs.100 - Rs.350 per person
Cafe Buddy?S Espresso - Seethammadara,"50-121-63/a, opp. to bank of india",Visakhapatnam,Restaurant,4.1,21,"Multi-cuisine restaurant with meals, snacks & beverages",80,350,Rs.80 - Rs.350 per person
Royal Ruchulu Restaurant | Best Restaurant In Vizag,"45-58-5/10, behind port stadium",Visakhapatnam,Restaurant,4.6,128,Highly-rated multi-cuisine dining with quality meals & beverages,150,500,Rs.150 - Rs.500 per person
New York Bistro,"p8v8+86j, hb colony rd",Visakhapatnam,Restaurant,,0,"Multi-cuisine restaurant with meals, snacks & beverages",80,350,Rs.80 - Rs.350 per person
Brundavanam Restaurants,"p8r3+jq9, bs layout rd",Visakhapatnam,Restaurant,1.0,1,"Multi-cuisine restaurant with meals, snacks & beverages",80,350,Rs.80 - Rs.350 per person
Laxmi Pani Puri Center &Hot Chaat,"muslim, near port hospital, opposite bmw show room",Visakhapatnam,Food court,4.2,5,Multi-cuisine food court with quick bites & combo meals,80,300,Rs.80 - Rs.300 per person
Hotel Sinka Grand,"beside bata showroom, tsn colony",Visakhapatnam,Hotel,4.1,1116,"Full-service dining with multi-cuisine buffet, meals & beverages",200,700,Rs.200 - Rs.700 per person
Mohan'S Noodles Point & Fastfood Centre,,Visakhapatnam,Food court,,0,"Indo-Chinese dishes: fried rice, noodles, manchurian & soups",100,350,Rs.100 - Rs.350 per person
Hotel Krishna Towers,"road, opposite to srikanya theatre",Visakhapatnam,Hotel,3.8,827,"Full-service dining with multi-cuisine buffet, meals & beverages",200,700,Rs.200 - Rs.700 per person
Bhagiradh Residency,"departmental store, sri kanya theatre, main rd, opposite more",Visakhapatnam,Lodge,3.5,148,"Multi-cuisine restaurant with meals, snacks & beverages",80,350,Rs.80 - Rs.350 per person
Ayyappa Tiffin Centar,"1, akkayyapalem 80 feet rd",Visakhapatnam,Food court,4.0,2,"South Indian breakfast & tiffins: idly, dosa, vada, upma & filter coffee",40,200,Rs.40 - Rs.200 per person
Swastik Sweets And Bakery,,Visakhapatnam,Eatery,,0,"Fresh baked goods, cakes, pastries, cookies & sweets",50,300,Rs.50 - Rs.300 per person
Krishna'S Cloud Kitchen,"kiran park, 49-55-15, main rd, beside port stadium, opposite legal metrology office",Visakhapatnam,Takeout Restaurant,4.8,26,"Quick takeaway meals, combos & packaged food",80,300,Rs.80 - Rs.300 per person
The Backyard Kitchen,5,Visakhapatnam,Asian restaurant,4.6,51,Highly-rated multi-cuisine dining with quality meals & beverages,150,500,Rs.150 - Rs.500 per person
Bhimavaram Rajula Chiken Pakodi Center,"sfs school back side gate, tennis park",Visakhapatnam,Restaurant,4.5,4,Highly-rated multi-cuisine dining with quality meals & beverages,150,500,Rs.150 - Rs.500 per person
Bandana Chat Centre,"50-27-17, nri hospital rd",Visakhapatnam,Fast food restaurant,4.4,16,"Fast food combos: burgers, fried snacks, rolls & soft drinks",60,250,Rs.60 - Rs.250 per person
B' Treats,50-121-49/1,Visakhapatnam,Restaurant,4.0,1521,"Multi-cuisine restaurant with meals, snacks & beverages",80,350,Rs.80 - Rs.350 per person
Hunger Strike,49-54-15/3,Visakhapatnam,Pizza Takeout,5.0,4,"Pizzas, pasta, garlic bread & Italian-style fast food",150,600,Rs.150 - Rs.600 per person
New Zealand Kitchen,"d/no, 50-54-15",Visakhapatnam,Health food restaurant,2.3,4,"Multi-cuisine restaurant with meals, snacks & beverages",80,350,Rs.80 - Rs.350 per person
Chennai Super Kings Tiffins,,Visakhapatnam,Tiffin center,4.2,21,"South Indian breakfast & tiffins: idly, dosa, vada, upma & filter coffee",40,200,Rs.40 - Rs.200 per person
Indigo Delights,"do no - 50-102-3/3, beside sbi bank lane",Visakhapatnam,Indian takeaway,4.4,7,"Quick takeaway meals, combos & packaged food",80,300,Rs.80 - Rs.300 per person
Shariff Bhai Biryani,"nh5, highway, beside port stadium",Visakhapatnam,Restaurant,3.8,4,"Hyderabadi & Andhra-style biryani, kebabs & raita",100,400,Rs.100 - Rs.400 per person
The Grand 9,45-57-3/4,Visakhapatnam,Takeout Restaurant,4.8,41,"Quick takeaway meals, combos & packaged food",80,300,Rs.80 - Rs.300 per person
Srinivasa Biryani & Curry Point,siri yaji plaza,Visakhapatnam,Takeout Restaurant,5.0,2,"Hyderabadi & Andhra-style biryani, kebabs & raita",100,400,Rs.100 - Rs.400 per person
Safoorn,1,Visakhapatnam,Restaurant,,0,"Multi-cuisine restaurant with meals, snacks & beverages",80,350,Rs.80 - Rs.350 per person
A1 Tiffin Centre,51-8-40/46,Visakhapatnam,Fast food restaurant,5.0,1,"South Indian breakfast & tiffins: idly, dosa, vada, upma & filter coffee",40,200,Rs.40 - Rs.200 per person
Palletooru Kitchen,"ground floor, 49-34-7",Visakhapatnam,Indian takeaway,4.0,129,"Quick takeaway meals, combos & packaged food",80,300,Rs.80 - Rs.300 per person
Spice And Dice,"50-103-4, seethammadhara rd, beside sbi bank",Visakhapatnam,Food court,4.8,34,Multi-cuisine food court with quick bites & combo meals,80,300,Rs.80 - Rs.300 per person
Millets,"bean board, chathrapathi street",Visakhapatnam,Restaurant,5.0,1,Highly-rated multi-cuisine dining with quality meals & beverages,150,500,Rs.150 - Rs.500 per person
Authentic Telugu Kitchen,"d.no : 49-65-16, nh-5, beside port stadium",Visakhapatnam,Food court,4.8,5,Multi-cuisine food court with quick bites & combo meals,80,300,Rs.80 - Rs.300 per person
Niloufer'S Hyderabad Irani Tea,seethammadhara rd,Visakhapatnam,Coffee shop,4.1,798,"Cafe beverages, snacks, light meals & desserts",80,350,Rs.80 - Rs.350 per person
Og(Our Gathering) On Wheels,,Visakhapatnam,Food court,3.8,9,Multi-cuisine food court with quick bites & combo meals,80,300,Rs.80 - Rs.300 per person
Dumont Creamery,"50-121-63/a, opposite to bank of india",Visakhapatnam,Ice cream shop,4.8,119,"Ice creams, sundaes, desserts & frozen treats",60,250,Rs.60 - Rs.250 per person
Padmavathi Homestay - Destinedge,49-54-5/51,Visakhapatnam,Guest house,4.1,229,"Multi-cuisine restaurant with meals, snacks & beverages",80,350,Rs.80 - Rs.350 per person
Townhouse Seethammadhara Junction Formerly Vijaya Residency,"50-121 29/3, seethammadhara rd",Visakhapatnam,Guest house,4.0,400,"Multi-cuisine restaurant with meals, snacks & beverages",80,350,Rs.80 - Rs.350 per person
Manam Thati Bellam Coffee Shop( Gopal Cafe),p7vv+9xm,Visakhapatnam,Coffee shop,5.0,3,"Cafe beverages, snacks, light meals & desserts",80,350,Rs.80 - Rs.350 per person
Fresh Bean Cafe,"crystal cafe, vishwanadh sports club, akkayyapalem main rd, near go karting",Visakhapatnam,Coffee shop,1.0,4,"Cafe beverages, snacks, light meals & desserts",80,350,Rs.80 - Rs.350 per person
Aqua World - Water Park | Rain Dance | Wave Pool | Restaurant | Swimming Pool,vishwanadh sports club,Visakhapatnam,Water park,4.2,49,"Multi-cuisine restaurant with meals, snacks & beverages",80,350,Rs.80 - Rs.350 per person
Pichekkistha Panipuri,"s f, s school",Visakhapatnam,Food court,3.3,3,Multi-cuisine food court with quick bites & combo meals,80,300,Rs.80 - Rs.300 per person
Gowri Vigneswara Fancy & Stationary,"ground floor, 50-53-4/7, opp. bank of baroda",Visakhapatnam,Ice cream shop,,0,"Ice creams, sundaes, desserts & frozen treats",60,250,Rs.60 - Rs.250 per person
Infinity Bar & Kitchen,"novotel visakhapatnam varun beach, beach road, nowroji road, maharanipeta",Visakhapatnam,Bar & grill,4.2,228,"Grilled chicken, kebabs, chicken curries & tandoor items",120,500,Rs.120 - Rs.500 per person
Amala Chicken Center,p7vv+hmx,Visakhapatnam,Chicken shop,5.0,186,"Grilled chicken, kebabs, chicken curries & tandoor items",120,500,Rs.120 - Rs.500 per person
Bhale Biryani Gajuwaka,"indusind bank building, 26-17-22/1, opposite lifestyle showroom",Gajuwaka,Biryani restaurant,4.4,365,"Hyderabadi & Andhra-style biryani, kebabs & raita",100,400,Rs.100 - Rs.400 per person
Maawa Mandi & 11 Biryani'S,"10-2-9/3, meharnagar, beside mohan sweets",Gajuwaka,Biryani restaurant,4.4,195,"Hyderabadi & Andhra-style biryani, kebabs & raita",100,400,Rs.100 - Rs.400 per person
Taj Hyderabadi Dum Briyani,"jug center, kanati road",Gajuwaka,Biryani restaurant,4.1,520,"Hyderabadi & Andhra-style biryani, kebabs & raita",100,400,Rs.100 - Rs.400 per person
Indian Dhaba Family Restaurant,5-19-27/1/1,"Visakhapatnam, Gopalapatnam (rural)",Indian restaurant,4.7,185,"North Indian curries, roti, dal makhani, paneer dishes & lassi",120,450,Rs.120 - Rs.450 per person
Sri Madhuram Family Restaurant,80 feet rd,Gajuwaka,Restaurant,4.4,292,Family-style dining with multi-cuisine Indian meals & combos,150,500,Rs.150 - Rs.500 per person
Coastal Grand Inn,"rd number 6, beside srichaitanya techno school",Gajuwaka,Family restaurant,4.0,521,Family-style dining with multi-cuisine Indian meals & combos,150,500,Rs.150 - Rs.500 per person
Vishwachetan Family Restaurant,m6j8+g89,Gajuwaka,Family restaurant,4.3,80,Family-style dining with multi-cuisine Indian meals & combos,150,500,Rs.150 - Rs.500 per person
Eaters Stop | Restaurant | Gajuwaka,next to police station signal,Gajuwaka,Restaurant,4.4,3854,"Multi-cuisine restaurant with meals, snacks & beverages",80,350,Rs.80 - Rs.350 per person
Svn Food House,"kanithi main road, yellamancili main road",Gajuwaka,Family restaurant,4.4,199,Family-style dining with multi-cuisine Indian meals & combos,150,500,Rs.150 - Rs.500 per person
The Village Vista,,"Visakhapatnam, Gajuwaka",Restaurant,4.3,131,"Multi-cuisine restaurant with meals, snacks & beverages",80,350,Rs.80 - Rs.350 per person
Anjana'S Restaurant,"shop no 19, sector-5 shopping complex opp andhra bank",Gajuwaka,Andhra restaurant,3.8,1660,"Authentic Andhra meals, spicy curries, rice dishes & chutneys",80,300,Rs.80 - Rs.300 per person
The Master Chef,"10-3-3, 10-3-3, 80 feet rd",Gajuwaka,Middle Eastern restaurant,4.1,3116,"Multi-cuisine restaurant with meals, snacks & beverages",80,350,Rs.80 - Rs.350 per person
Varma'S Kitchen,balacheruvu rd,Gajuwaka,Restaurant,3.9,1050,"Multi-cuisine restaurant with meals, snacks & beverages",80,350,Rs.80 - Rs.350 per person
Non Veg Restaurant,m6c6+4vm,Gajuwaka,Biryani restaurant,3.5,4,"Hyderabadi & Andhra-style biryani, kebabs & raita",100,400,Rs.100 - Rs.400 per person
Aha Yemi Ruchulu The Kitchen - Gajuwaka,"26-17-21/1, beside axis bank",Gajuwaka,Restaurant,4.5,365,Highly-rated multi-cuisine dining with quality meals & beverages,150,500,Rs.150 - Rs.500 per person
Chickpet Donne Biryani House - Since 1975,"7-17-2/1, beside petrol bunk",Gajuwaka,Biryani restaurant,4.3,318,"Hyderabadi & Andhra-style biryani, kebabs & raita",100,400,Rs.100 - Rs.400 per person
Nagendra Foods Pvt Ltd,6-60-9/2/1,Gajuwaka,Restaurant,4.8,1215,Highly-rated multi-cuisine dining with quality meals & beverages,150,500,Rs.150 - Rs.500 per person
Eaters Stop | Restaurant | Cmr Central | Gajuwaka,"2nd floor, cmr central, chennai - kolkata hwy",Gajuwaka,Restaurant,4.4,360,"Multi-cuisine restaurant with meals, snacks & beverages",80,350,Rs.80 - Rs.350 per person
Copper Leaves ?? Restaurant,"3, kanithi rd, above lg showroom",Gajuwaka,Restaurant,4.4,540,"Multi-cuisine restaurant with meals, snacks & beverages",80,350,Rs.80 - Rs.350 per person
V Nawabi Darbar,visakhapatnam steel plant general hospital rd,Gajuwaka,Family restaurant,3.9,108,Family-style dining with multi-cuisine Indian meals & combos,150,500,Rs.150 - Rs.500 per person
Vaisakhe Food Court,"31-23-33/5, duvvada station road, near indane gas",Gajuwaka,Biryani restaurant,3.9,1526,"Hyderabadi & Andhra-style biryani, kebabs & raita",100,400,Rs.100 - Rs.400 per person
Urban Kitchen,"plot number 57 100ft, duvvada railway station rd, beside essar petrol bunk",Gajuwaka,Vegetarian restaurant,4.1,1075,"Pure vegetarian meals, South Indian & North Indian veg dishes",80,300,Rs.80 - Rs.300 per person
Nidups Snack Point,feb-64,Gajuwaka,Snack bar,4.8,65,"Cocktails, mocktails, beverages & bar snacks",300,1200,Rs.300 - Rs.1200 per person
Sandhya'S Kitchen,shivalayam rd,Gajuwaka,Breakfast restaurant,5.0,2,"Morning breakfast specials: tiffins, parathas & hot beverages",40,180,Rs.40 - Rs.180 per person
Adithya Restaurant,"besides, mainroad",Gajuwaka,Restaurant,3.9,10,"Multi-cuisine restaurant with meals, snacks & beverages",80,350,Rs.80 - Rs.350 per person
Sri Krishna Fast Food Centre,m4qm+4fq,Gajuwaka,Fast food restaurant,5.0,10,"Fast food combos: burgers, fried snacks, rolls & soft drinks",60,250,Rs.60 - Rs.250 per person
Mayuri Parlour,"m4qp+jhq, chennai - kolkata hwy",Gajuwaka,Restaurant,,0,"Multi-cuisine restaurant with meals, snacks & beverages",80,350,Rs.80 - Rs.350 per person
Guntur Biryani,,Gajuwaka,Restaurant,3.0,16,"Hyderabadi & Andhra-style biryani, kebabs & raita",100,400,Rs.100 - Rs.400 per person
Bigguys: Wings & Burgers (Vmr Central Mall),"vmr central, 2-64, saniwada road",Gajuwaka,Fast food restaurant,4.6,174,"Burgers, wraps, sandwiches & continental fast food",80,300,Rs.80 - Rs.300 per person
Sri Durga Hot Foods,"2, beside sbi",Gajuwaka,Fast food restaurant,,0,"Fast food combos: burgers, fried snacks, rolls & soft drinks",60,250,Rs.60 - Rs.250 per person
Westren Alpha Restaurant,,"Kondayyavalasa, Gajuwaka",Fast food restaurant,4.0,6,"Fast food combos: burgers, fried snacks, rolls & soft drinks",60,250,Rs.60 - Rs.250 per person
Nivedha Sri Fresh Juice & Salad Point,"m4qm+8rj, chennai - kolkata hwy",Gajuwaka,Restaurant,1.0,1,"Fresh fruit juices, milkshakes & health beverages",30,150,Rs.30 - Rs.150 per person
Borramamba Tiffin Centre,m4qp+h47,Gajuwaka,Tiffin center,,0,"South Indian breakfast & tiffins: idly, dosa, vada, upma & filter coffee",40,200,Rs.40 - Rs.200 per person
???? ???? ?????? ??????,,Gajuwaka,Restaurant,,0,"Multi-cuisine restaurant with meals, snacks & beverages",80,350,Rs.80 - Rs.350 per person
